name,address,phone_number,website,image_url,cuisine_id
The Spoke & Bird,205 E 18th St.,929-263-2473,https://www.spokeandbird.com/,https://media.timeout.com/images/102424857/630/472/image.jpg,1
Kuma’s Corner,852 W Fulton Market,312-666-9090,https://kumascorner.com/,https://www.google.com/search?q=kuma%27s+corner&safe=off&rlz=1C5CHFA_enUS876US876&sxsrf=ALeKk035wCLxFpmA17g7QYe1wvw-1s5O-w:1598978614584&source=lnms&tbm=isch&sa=X&ved=2ahUKEwighs3Cs8jrAhWBBs0KHcEkD1IQ_AUoA3oECA4QBQ&biw=828&bih=789#imgrc=b_DuK1mS7gw3RM,1
Bub City,423 N Clark St.,312-584-3488,https://www.bub-city.com/chicago/,https://s3.amazonaws.com/bucket.bub-city.com/wp-content/uploads/BubCityInteriors130116-2.jpg,1
Opart Thai House,1371 W Chicago Ave,312-584-3457,https://www.opartthai.com/ssl/index.php,https://cdn.vox-cdn.com/thumbor/Ku50dzCpBjveXJyqGAvE8Rgrdc4=/0x0:2048x1536/1200x800/filters:focal(0x0:2048x1536)/cdn.vox-cdn.com/uploads/chorus_image/image/48425757/12414175_10153206203091316_131782019_o.0.0.jpg,2
SaiMai Thai,338 W Armitage Ave,773-348-3888,https://www.saimaithai.com/,https://media-cdn.tripadvisor.com/media/photo-s/05/f3/4f/74/saimai-thai.jpg,2
Silver Spoon,710 N Rush St,312-584-3512,https://www.silverspoonchicago.com/,https://media-cdn.tripadvisor.com/media/photo-s/0e/37/19/7e/silver-spoon-is-easy.jpg,2
Northern City,742 W 31st St.,312-584-3143,http://www.northerncity.com/,https://media1.fdncms.com/chicago/imager/northern-city/u/original/7991637/northerncity.jpg,3
MCCB Chicago,2138 S Archer,312-584-3670,https://www.mccbchicago.com/,https://s3-media0.fl.yelpcdn.com/bphoto/MCsJUE8NVNqP5Q_mc2FaNw/348s.jpg,3
Peking Chinese Food,129 W North Ave,312-584-3413,http://go2pekingchinesefood.com/,https://i1.ypcdn.com/blob/6a55f50d0699d9c3917b3f5e42c9400599d51b39_400x260_crop.jpg,3
Torchio Pasta Bar,738 N Wells St,(312) 643-0543,www.torchiopastabar.com,https://s3-media0.fl.yelpcdn.com/bphoto/PE-U8OJrpsZrhT20DR6GuA/o.jpg,4
Forno Rosso Pizzeria Napoletana,3719 N Harlem Ave,(773) 716-3000,fornorossopizzeria.com,https://s3-media0.fl.yelpcdn.com/bphoto/x6q-VucbENkBP8bE1f8Myg/o.jpg,4
Saporia Trattoria,2701 N Halsted St,(773) 832-9999,saporitrattoria.net,https://s3-media0.fl.yelpcdn.com/bphoto/IB7BFqfkk32MMA8rzvn0IQ/o.jpg,4
Chez Joel Bistro,1119 W Taylor St,(815) 768-3324,chezjoelbistro.com,https://s3-media0.fl.yelpcdn.com/bphoto/yHntd1_qXOS9dS0U2yjdNA/o.jpg,5
Mona Mi Gabi,2300 N Lincoln Park W,(773) 348-8886,monamigabi.com,https://s3-media0.fl.yelpcdn.com/bphoto/0vI0nG8tOQ87F8v_qYREFg/o.jpg,5
Le Bouchon,1958 N Damen Ave,(773) 862-6600,lebouchonofchicago.com,https://s3-media0.fl.yelpcdn.com/bphoto/xbfzn0rLmUMTJqGNtEUOwQ/o.jpg,5
XOchimilco Mexican Restaurant,2030-32 W Montrose Ave,(773) 661-1534,https://xochimilcomexicanrestaurantravenswood.business.site/,https://s3-media0.fl.yelpcdn.com/bphoto/hidMeomn551lgpndmgyYZw/o.jpg,6
Sabroso! Mexican Grill,624 N Ashland Ave,(773) 253-5001,sabrosochicago.com,https://s3-media0.fl.yelpcdn.com/bphoto/VVQ9onPazChN-c1TTr-Afw/o.jpg,6
Carnitas Uruapan,1725 W 18th St,(312) 226-2654,carnitasuruapanchi.com,https://s3-media0.fl.yelpcdn.com/bphoto/_HgvFN_lVNUpLwY1aX3TNQ/o.jpg,6
